NAME,COUNTRY,LONGITUDE,LATITUDE,TAMAX,TAMAXDATE,TAMIN,TAMINDATE
GLENNVILLE 3 NW, GA US,-81.9522,31.988,20.66,1921,18.29,1992
GORE, GA US,-85.266667,34.45,16.96,1911,15.04,1898
GREENSBORO, GA US,-83.21667,33.56667,18.26,1925,15.83,1917
GREENVILLE, GA US,-84.735,33.02861,18.1,1990,15.46,1976
GRIFFIN, GA US,-84.26667,33.25,19.15,1921,16.1,1910
HARRISON, GA US,-82.716667,32.833333,18.48,1911,17.03,1901
HARTWELL, GA US,-82.93013,34.35178,18.04,1986,15.21,1996
HARTWELL DAM, GA US,-82.83546,34.33917,17.63,2016,15.93,2014
HAWKINSVILLE, GA US,-83.4681,32.2843,19.97,1921,17.13,1901
HAZLEHURST, GA US,-82.5808,31.8878,20.89,1933,18.24,2010
HELEN, GA US,-83.7261,34.6996,16.02,1990,13.16,1968
HELENA, GA US,-82.916667,32.066667,19.72,1908,18.91,1910
HOGGARDS MILL, GA US,-84.45,31.2,20.19,1949,18.18,1940
HOMERVILLE 5 N, GA US,-82.8003,31.0767,20.16,1986,17.72,1993
IRWINTON 4 WNW, GA US,-83.2389,32.8294,18.6,2006,16.82,1966
JASPER 1 NNW, GA US,-84.4461,34.4758,16.45,1949,13.31,1976
JESUP, GA US,-81.8797,31.6081,19.36,1900,18.04,1901
JESUP 4 NE, GA US,-81.83333,31.65,21.24,1990,19.01,1981
JESUP 8 S, GA US,-81.8628,31.5075,20.58,1990,18.22,1969
JONESBORO, GA US,-84.3545,33.5312,17.68,1998,15.92,1996
KITE, GA US,-82.5415,32.7127,18.94,2019,17.19,2010
CHICKAMAUGA 2 SW, GA US,-85.3142,34.853,17.0,2017,13.62,1996
LA GRANGE, GA US,-85.0318,33.0537,18.21,1896,15.78,1968
LAKELAND, GA US,-83.07583,31.03917,19.84,2002,19.18,2003
LEESBURG 2, GA US,-84.1869,31.7633,19.75,2006,17.98,2010
LEXINGTON, GA US,-83.1135,33.8705,17.59,2012,15.87,2009
LISBON, GA US,-82.58333,33.95,18.22,1921,16.24,1917
LOST MOUNTAIN, GA US,-84.7,33.933333,17.4,1911,15.18,1912
LOUISVILLE 1 E, GA US,-82.3914,33.0125,19.62,1990,17.0,1979
LUMBER CITY, GA US,-82.67917,31.92972,18.92,1982,17.07,1969
LUMPKIN 2 SE, GA US,-84.7754,32.0306,21.1,1911,17.04,1969
MABLETON 1 N, GA US,-84.5783,33.8533,15.42,2008,15.2,2009
MACON WEATHER BUREAU CITY, GA US,-83.63333,32.83333,18.86,1933,17.0,1940
MANOR, GA US,-82.5652,31.0833,19.11,2011,17.96,2010
MARIETTA, GA US,-84.55,33.95,17.06,1921,14.61,1895
MARSHALLVILLE, GA US,-83.94,32.45667,18.52,1971,17.38,1958
MARSHALLVILLE 6 S, GA US,-83.93333,32.36667,19.93,1921,17.99,1924
MAUZY, GA US,-83.766667,31.116667,20.36,1907,20.36,1907
MCDONOUGH 5 ENE, GA US,-84.03358,33.47686,16.81,2004,16.13,2010
MC INTYRE 1 WNW, GA US,-83.21667,32.85,17.02,1959,16.32,1961
METTER, GA US,-82.06092,32.39559,20.77,1990,18.53,1958
MIDVILLE EXPERIMENTAL STATION, GA US,-82.2156,32.8753,18.87,2007,17.09,1992
MILLEDGEVILLE, GA US,-83.2498,33.0831,19.34,1927,15.91,1960
MILLEN 4 N, GA US,-81.96722,32.87028,20.28,1933,16.91,1976
MINERAL BLUFF, GA US,-84.32139,34.95278,14.12,2004,14.04,2005
MONTEZUMA 2 NW, GA US,-84.065,32.3176,19.2,1949,18.69,1950
MONTICELLO, GA US,-83.6975,33.3329,19.28,1990,15.75,1963
MONTICELLO 2 NW, GA US,-83.68333,33.31667,16.29,1957,16.29,1957
MORGAN 1 W, GA US,-84.61667,31.53333,19.1,1907,16.77,1901
MOULTRIE 2 ESE, GA US,-83.7491,31.1769,20.98,1933,18.18,1976
MOUNTAIN CITY 2 SW, GA US,-83.4127,34.9047,13.17,2019,11.46,2010
MULBERRY GROVE, GA US,-85.0756,32.6089,18.63,1998,17.71,2004
NAHUNTA 6 NE, GA US,-81.9197,31.2738,20.18,1982,17.51,2010
NASHVILLE 5 SSE, GA US,-83.21667,31.13333,20.56,1986,18.27,1981
NASHVILLE 4 N, GA US,-83.2391,31.2644,20.19,1990,18.19,1996
NAYLOR, GA US,-83.083333,30.9,20.08,1902,18.44,1901
NEWINGTON, GA US,-81.4997,32.5953,19.67,1982,17.73,1966
NEWNAN 7 WNW, GA US,-84.915,33.3996,18.95,1921,15.28,1983
NEWTON 5 W, GA US,-84.41583,31.28972,19.07,2006,19.07,2006
OCILLA WTP, GA US,-83.24722,31.59528,19.28,2003,19.28,2003
PATTERSON, GA US,-82.1292,31.3781,20.49,2012,17.88,2010
PINE MOUNTAIN VALLEY, GA US,-84.85,32.78333,17.55,1954,16.76,1950
PLAINS SW GA EXPERIMENTAL STATION, GA US,-84.3711,32.0467,19.29,1990,16.96,1976
POINT PETER, GA US,-83.016667,34.0,17.84,1921,15.36,1899
POULAN, GA US,-83.783333,31.516667,20.44,1911,17.85,1895
PRIDGEN, GA US,-82.9239,31.6953,19.25,2017,17.81,2010
PUTNAM, GA US,-84.416667,32.266667,18.28,1906,17.7,1903
QUITMAN 2 NW, GA US,-83.56917,30.78361,21.3,1927,18.07,1963
RAMHURST, GA US,-84.733333,34.7,16.98,1911,14.31,1917
ROCKY FORD 4 SE, GA US,-81.7756,32.6328,19.33,2019,17.61,2005
ROME, GA US,-85.1584,34.2413,18.2,1921,14.24,1996
SAINT GEORGE, GA US,-82.033333,30.516667,21.55,1927,19.61,1913
SAINT MARYS, GA US,-81.55,30.716667,20.58,1907,19.41,1904
SANDERSVILLE, GA US,-82.8045,32.9745,18.73,2019,15.74,1983
SAPELO ISLAND, GA US,-81.28077,31.39806,21.23,2016,18.48,1976
SAUTEE 3 W, GA US,-83.7342,34.6646,14.8,2016,11.83,2013
SAVANNAH USDA PLANT, GA US,-81.26667,32.0,19.89,1975,17.74,1958
SAVANNAH BEACH, GA US,-80.85,32.0,20.76,1939,18.75,1940
SILOAM 3 N, GA US,-83.0768,33.5635,17.98,1986,15.92,1988
SPRINGFIELD, GA US,-81.31181,32.35879,19.14,2002,19.14,2002
STILLMORE, GA US,-82.21806,32.44139,19.5,1939,18.21,1928
SUMMERVILLE, GA US,-85.39,34.4546,16.33,2016,14.77,2008
SUNNYSIDE, GA US,-84.28333,33.33333,17.12,1974,16.7,1970
SURRENCY, GA US,-82.19694,31.70778,19.94,1998,18.0,1988
SWAINSBORO, GA US,-82.38222,32.58056,19.44,1991,17.38,1969
SYLVANIA 2 SSE, GA US,-81.6178,32.7322,17.7,1993,17.45,1995
TALBOTTON, GA US,-84.5207,32.6864,19.08,1911,16.17,1968
TALLAPOOSA 2 N, GA US,-85.3,33.76667,16.52,1907,14.18,1968
THE ROCK RANCH, GA US,-84.23027,32.96416,18.02,2018,17.56,2011
THOMASTON 4 SE, GA US,-84.2654,32.867,18.83,1990,16.58,1963
THOMASVILLE 7 NE, GA US,-83.86111,30.91389,20.89,1927,18.1,1966
TIFTON, GA US,-83.4767,31.4461,20.44,1990,17.56,1966
TOCCOA, GA US,-83.3319,34.5786,17.64,2016,14.65,1905
UNICOI STATE PARK, GA US,-83.7219,34.7206,15.19,1982,15.19,1982
U OF GA PLANT SCIENCE FARM, GA US,-83.5358,33.8722,17.19,2012,15.45,1996
VALDOSTA 3 E, GA US,-83.23333,30.85,20.69,1990,18.16,1976
VALDOSTA, GA US,-83.2736,30.8055,21.59,1911,18.37,1969
VALONA, GA US,-81.35,31.483333,19.44,1902,16.36,1899
VIDALIA, GA US,-82.416667,32.216667,18.85,1902,18.85,1902
WARNER ROBINS, GA US,-83.6163,32.6094,19.55,2019,17.61,2001
WARRENTON, GA US,-82.6222,33.4029,18.87,1921,15.85,1983
WASHINGTON 2 ESE, GA US,-82.7059,33.7264,19.78,2012,14.67,1963
WAVERLY, GA US,-81.733333,31.1,19.95,1902,19.95,1902
WAYCROSS 4 NE, GA US,-82.3128,31.2514,21.1,1932,17.72,1968
WAYNESBORO 2 S, GA US,-82.00728,33.07129,19.05,1949,16.26,1981
WEST POINT, GA US,-85.1838,32.8861,18.44,1921,15.57,1976
WILLACOOCHEE 5 ENE, GA US,-82.9339,31.355,18.64,2003,18.63,2001
WINDER 4 S, GA US,-83.72611,33.9275,16.52,1985,15.07,1981
WINTERVILLE, GA US,-83.2911,33.9664,17.27,2012,15.44,2010
WOODBINE, GA US,-81.7071,30.9591,20.58,2015,17.98,2000
WOODBURY, GA US,-84.5982,32.9783,16.39,1905,16.39,1905
ABERDEEN EXPERIMENT STATION, ID US,-112.8253,42.9536,10.19,1934,3.77,1985
ALBION, ID US,-113.58333,42.41667,8.81,1910,6.75,1951
ALPHA 1 NE, ID US,-115.98333,44.4,6.69,1934,3.44,1935
AMERICAN FALLS, ID US,-112.80359,42.79866,10.71,2012,8.5,2011
AMERICAN FALLS 3 NW, ID US,-112.8801,42.8571,10.38,1981,6.45,1985
ANDERSON DAM, ID US,-115.4523,43.3572,10.4,1958,8.36,1964
ARBON, ID US,-112.57583,42.50306,8.38,1981,5.26,1985
ARCO, ID US,-113.29978,43.6356,8.42,2003,3.8,1964
ARROWROCK DAM, ID US,-115.9237,43.5936,11.95,1934,7.95,1955
ASHTON 1 N, ID US,-111.4565,44.0707,7.42,2015,3.38,1964
ATLANTA, ID US,-115.13333,43.8,5.11,1969,4.47,1971
ATLANTA 1 E, ID US,-115.11667,43.8,7.1,1940,3.72,1932
AVERY RANGER STATION, ID US,-115.8,47.25,9.56,1925,7.14,1929
AVERY RANGER STATION NUMBER 2, ID US,-115.9204,47.2532,8.14,1987,6.58,1972
BAKERS RANCH, ID US,-114.46667,44.05,4.55,1936,3.66,1937
BARTON FLAT, ID US,-113.8,44.05,4.39,1936,2.63,1945
BAYVIEW MODEL BASIN, ID US,-116.5594,47.9804,9.2,1998,6.14,1964
BELLEVUE, ID US,-114.2577,43.4669,9.48,2017,8.73,2016
BERN, ID US,-111.385,42.3352,7.1,2015,3.36,1993
BIG CREEK, ID US,-115.31667,45.13333,4.35,1958,2.15,1955
BLACKFOOT FIRE DEPARTMENT, ID US,-112.34522,43.19172,9.91,2015,4.58,1929
BLACKFOOT DAM, ID US,-111.71667,43.0,4.83,1940,2.08,1942
BLISS, ID US,-115.01306,42.95444,11.45,1958,6.92,1985
BLUE LAKES, ID US,-114.466667,42.05,12.02,1904,10.6,1903
BOISE 7 N, ID US,-116.2022,43.7383,11.23,1987,7.82,1985
BOISE LUCKY PEAK DAM, ID US,-116.0542,43.5253,13.05,2015,9.91,1975
BOISE KING, ID US,-115.333333,43.833333,5.69,1917,5.69,1917
BONANZA, ID US,-114.73333,44.36667,2.37,1917,2.37,1917
BONNERS FERRY, ID US,-116.3104,48.6928,10.1,2015,5.74,1913
BROWNLEE, ID US,-116.816667,44.733333,6.92,1919,6.52,1920
BROWNLEE DAM, ID US,-116.8981,44.8365,14.19,2003,10.58,1985
BRUNEAU, ID US,-115.8017,42.8819,12.53,2003,9.18,1985
BUHL NUMBER 2, ID US,-114.76667,42.6,12.04,1934,8.09,1932
BUHL NUMBER 2, ID US,-114.7453,42.6006,11.14,2012,7.22,1993
BUNGALOW RANGER STATION, ID US,-115.5,46.63333,9.8,1939,8.36,1935
BURKE 2 ENE, ID US,-115.8,47.53333,6.25,1958,3.45,1955
BURLEY, ID US,-113.78333,42.53333,11.5,1934,7.62,1922
BURLEY, ID US,-113.8027,42.5188,10.51,1934,6.82,1932
BURNSIDE, ID US,-112.183333,44.4,4.72,1898,4.54,1903
CABINET GORGE, ID US,-116.0573,48.0863,9.53,2015,6.47,1985
CALDWELL, ID US,-116.68333,43.66667,12.65,1934,8.32,1985
CAMBRIDGE, ID US,-116.6754,44.5734,12.08,1934,6.19,1985
CAMPBELLS FERRY, ID US,-115.33333,45.48333,9.54,1980,8.41,1982
CASCADE 1 NW, ID US,-116.0481,44.5228,7.79,2015,1.65,1985
CASTLEFORD 2 N, ID US,-114.8661,42.5503,10.89,2012,6.74,1985
CHALLIS, ID US,-114.23972,44.50361,8.31,1966,4.25,1922
CHESTERFIELD, ID US,-111.916667,42.85,5.26,1904,3.83,1901
CHILLY BARTON FLAT, ID US,-113.8288,43.9772,6.2,2015,1.34,1952
CLARK FORK 1 ENE, ID US,-116.16667,48.15,7.71,1945,6.27,1955
CLARKIA, ID US,-116.2559,47.0112,7.1,1967,5.36,1971
COBALT, ID US,-114.23333,45.08333,5.62,1967,3.44,1962
COBALT BLACKBIRD MIN, ID US,-114.35,45.11667,3.0,1958,0.39,1955
COEUR D ALENE, ID US,-116.7967,47.6821,10.65,1958,7.16,1916
CONDA, ID US,-111.55,42.71667,6.0,1954,3.32,1944
COTTONWOOD, ID US,-116.33333,46.01667,9.53,1934,5.56,1955
COTTONWOOD 2 WSW, ID US,-116.3919,46.0336,9.22,1987,6.49,1985
COUNCIL, ID US,-116.4326,44.7441,11.3,1934,6.68,1985
CRAIGMONT, ID US,-116.48333,46.23333,8.23,1992,6.01,1984
CRATERS OF THE MOON, ID US,-113.56012,43.46285,8.59,2014,4.34,1964
CULDESAC, ID US,-116.666667,46.383333,8.53,1913,8.07,1916
CUPRUM, ID US,-116.7,45.083333,7.87,1921,6.48,1931
DEADWOOD DAM, ID US,-115.63333,44.31667,5.09,1958,2.11,1937
DEADWOOD LODGE, ID US,-115.5817,44.4622,4.6,2014,3.81,2013
DEARY, ID US,-116.566667,46.8,8.38,1914,8.38,1914
DECEPTION CREEK, ID US,-116.48333,47.73333,6.9,1940,4.63,1943
DEER FLAT DAM, ID US,-116.7475,43.5765,12.43,2012,9.16,1984
DEER POINT, ID US,-116.1,43.75,5.36,1958,4.11,1957
DENT, ID US,-116.25,46.65,9.66,1908,9.55,1907
DESMET 1 S, ID US,-116.91667,47.13333,7.55,1971,7.55,1971
DIXIE, ID US,-115.4605,45.5525,3.75,1958,1.15,1955
DIXIE NORTH, ID US,-115.4527,45.5697,3.05,2016,1.59,2019
DOWNEY, ID US,-112.1253,42.4261,7.88,1900,5.31,1899
DRIGGS, ID US,-111.1125,43.7306,6.78,1934,1.97,1912
DUBOIS EXPERIMENT STATION, ID US,-112.2005,44.2436,9.4,1934,3.65,1929
EDEN HUNT PROJECT, ID US,-114.25,42.68333,7.77,1949,7.77,1949
DWORSHAK FISH HATCHERY, ID US,-116.3216,46.5023,12.47,1992,9.74,1985
EDIE, ID US,-112.6,44.416667,4.4,1910,4.4,1910
ELK CITY 1 NE, ID US,-115.461,45.8356,6.06,1986,3.99,1985
ELK RIVER, ID US,-116.1796,46.7823,8.53,1958,4.93,1985
ELLERSLIE, ID US,-115.783333,43.3,9.83,1905,9.69,1906
EMMETT 2 E, ID US,-116.4663,43.8544,12.77,1934,8.92,1993
FAIRFIELD RANGER STATION, ID US,-114.7899,43.3428,6.79,1987,2.82,1985
FAIRFIELD 3 SE, ID US,-114.75,43.31667,5.91,1992,3.76,1989
FELT, ID US,-111.116667,43.883333,4.18,1926,2.58,1930
FENN RANGER STATION, ID US,-115.5355,46.093,11.38,1958,8.34,1955
COBALT BLACKBIRD MIN, ID US,-114.35,45.11667,2.44,1950,1.87,1949
FORT HALL 1 NNE, ID US,-112.41435,43.04245,10.71,1934,6.44,2011
GALENA, ID US,-114.65417,43.87222,1.85,1967,0.93,1970
GARDEN VALLEY, ID US,-115.9694,44.1011,9.91,2015,6.99,1993
GARNET, ID US,-116.0,42.966667,13.7,1904,11.56,1911
GIBBONSVILLE, ID US,-113.9274,45.5395,6.62,1966,3.47,1985
GIMLET, ID US,-114.35,43.6,6.08,1897,6.08,1897
GLENNS FERRY, ID US,-115.323,42.9404,13.19,1921,8.04,1985
GRACE, ID US,-111.7275,42.5872,8.02,1934,4.34,1944
GRAND VIEW 4 NW, ID US,-116.1772,43.0176,12.84,1934,9.1,1935
GRANGEVILLE, ID US,-116.1175,45.9413,10.61,1934,6.04,1955
GRANGEVILLE 11 SE, ID US,-115.93333,45.83333,10.09,1967,8.45,1982
GRASMERE, ID US,-115.88333,42.38333,9.25,1958,6.81,1955
GRAY, ID US,-111.36667,43.05,5.84,1940,3.46,1932
GREENCREEK 3 N, ID US,-116.26667,46.15,8.37,1967,6.99,1971
GROUSE, ID US,-113.54722,43.71861,4.31,1986,1.3,1952
GUFFEY, ID US,-116.55,43.283333,13.09,1915,11.37,1911
HAGERMAN, ID US,-114.85,42.866667,12.69,1900,12.69,1900
HAGERMAN 2 SW, ID US,-114.9239,42.8114,12.21,1992,9.69,1993
HAILEY 3 NNW, ID US,-114.33333,43.56667,8.96,1934,5.2,1932
HAMER 4 NW, ID US,-112.2641,43.9663,7.99,2015,4.31,1964
HAZELTON, ID US,-114.1378,42.5972,12.3,1934,7.38,1984
HEADQUARTERS, ID US,-115.8086,46.6311,7.54,1998,5.13,1964
HENRY, ID US,-111.43611,42.94194,4.64,1983,4.64,1983
HILL CITY, ID US,-115.0733,43.2994,7.2,1934,3.03,1985
HOLLISTER, ID US,-114.5739,42.3528,9.61,1931,7.48,1913
HOMEDALE 1 SE, ID US,-116.9211,43.6058,11.83,2015,9.88,2011
HOT SPRINGS, ID US,-115.7,42.8,12.13,1915,10.52,1916
HOWE, ID US,-113.0033,43.7827,8.79,2012,5.04,1982
IDAHO CITY, ID US,-115.832,43.8383,9.78,1934,5.0,1985
IDAHO FALLS KIFI, ID US,-112.0126,43.514,9.41,2012,5.63,1993
IDAHO FALLS 16 SE, ID US,-111.7847,43.3455,7.53,2015,3.35,1993
IMUS BROTHERS RANCH, ID US,-113.616667,44.233333,1.63,1916,1.63,1916
INDIAN COVE, ID US,-115.55,42.93333,13.27,1934,9.53,1929
IRWIN 2 SE, ID US,-111.3,43.4,7.88,1934,2.49,1923
ISLAND PARK, ID US,-111.3714,44.4189,4.59,1998,1.02,1964
JEROME, ID US,-114.5192,42.7325,11.28,2015,7.14,1985
KAMIAH, ID US,-116.0338,46.2299,12.25,2015,9.93,2019
KELLOGG, ID US,-116.1221,47.534,10.55,1934,6.18,1916
KETCHUM RANGER STATION, ID US,-114.3602,43.6841,5.01,1987,2.72,1982
KILGORE, ID US,-111.88333,44.4,2.82,1963,1.17,1975
KOOSKIA, ID US,-115.98333,46.15,11.5,1958,9.04,1975
KOOSKIA, ID US,-115.93361,46.07139,10.07,1992,8.91,1997
KOOSKIA 5 SE, ID US,-115.8875,46.09833,9.62,2009,9.17,2008
KUNA, ID US,-116.41667,43.48333,12.72,1934,7.63,1985
KUNA 3 E, ID US,-116.35,43.48333,10.06,1981,8.93,1979
LAKE, ID US,-111.366667,44.7,3.33,1936,1.97,1899
LAKEVIEW, ID US,-116.5,47.95,9.08,1900,7.12,1911
LANDORE, ID US,-116.633333,45.133333,5.67,1914,3.94,1911
LAPWAI, ID US,-116.81111,46.42278,11.17,1932,10.54,1930
LAVA HOT SPRINGS, ID US,-112.0066,42.6194,8.91,2003,6.21,2011
LEADORE NUMBER 2, ID US,-113.3622,44.683,4.76,2016,2.59,2008
LEADORE 8 W, ID US,-113.51667,44.66667,5.54,1987,5.31,1986
LEWISTON, ID US,-117.03333,46.41667,12.03,1956,12.03,1956
LEWISTON WATER PLANT, ID US,-117.01667,46.41667,13.99,1934,11.07,1955
LIFTON PUMPING STATION, ID US,-111.3133,42.123,8.17,1934,3.17,1985
LOON CREEK, ID US,-114.833333,44.566667,3.89,1914,2.18,1911
LOWMAN, ID US,-115.61861,44.08278,8.79,1934,5.04,1933
LOWMAN 3 E NUMBER 2, ID US,-115.56667,44.08333,8.0,1969,7.21,1971
LOWRY, ID US,-117.0,42.55,7.9,1909,7.9,1909
MACKAY LOST RIVER RANGER STATION, ID US,-113.61517,43.9178,7.33,1939,3.22,1984
MACKAY 4 NW, ID US,-113.66667,43.95,5.55,1974,4.0,1975
MAGIC LAKE RESORT, ID US,-114.38333,43.28333,6.87,1972,6.82,1969
MALAD, ID US,-112.26667,42.2,10.12,1934,6.6,1923
MALTA 4 ESE, ID US,-113.30417,42.29167,9.25,1996,7.67,1979
MALTA, ID US,-113.3688,42.3061,9.15,2015,8.23,2017
MARTIN, ID US,-113.55,43.05,3.55,1893,3.47,1895
MASSACRE ROCKS STATE PARK, ID US,-112.998,42.668,11.69,2014,7.93,2011
MAY 2 SSE, ID US,-113.8952,44.5663,7.42,1981,4.33,1955
MCCALL, ID US,-116.1046,44.8871,6.97,2015,2.67,1955
MCCAMMON, ID US,-112.1935,42.6523,8.83,1958,6.02,1993
MCCAMMON 2 WSW, ID US,-112.23333,42.63333,6.57,1965,6.51,1966
MERIDIAN 1 W, ID US,-116.41667,43.61667,11.46,1926,8.59,1916
MESA, ID US,-116.43333,44.61667,9.86,1914,8.39,1948
MIDDLE FORK LODGE, ID US,-115.0149,44.7189,7.68,1992,5.62,1993
MILNER DAM, ID US,-114.11667,42.53333,11.84,1934,7.94,1911
MINIDOKA 10 WNW, ID US,-113.66667,42.78333,8.73,1967,6.41,1975
MINIDOKA DAM, ID US,-113.5021,42.6769,10.34,1958,6.24,1985
MONTPELIER R S, ID US,-111.3,42.31667,7.78,1934,3.65,1955
MONTEVIEW, ID US,-112.56663,44.03033,5.28,2016,5.28,2016
MOSCOW U OF I, ID US,-116.9557,46.728,10.89,1934,6.33,1985
MOUNTAIN HOME, ID US,-115.7119,43.1261,12.02,1934,8.19,1985
MUD LAKE PUMPING STATION, ID US,-112.41667,43.83333,4.79,1931,4.79,1931
MULLAN, ID US,-115.8113,47.4661,8.24,1992,5.21,1985
MURPHY, ID US,-116.566667,43.216667,12.29,1921,11.17,1920
MURPHY DESERT HOT SPRINGS, ID US,-115.3596,42.0264,8.74,2015,6.86,2019
MURRAY, ID US,-115.866667,47.633333,7.31,1900,5.39,1905
MURTAUGH, ID US,-114.2,42.533333,8.52,1910,6.65,1911
NAMPA, ID US,-116.56667,43.58333,11.75,1946,9.33,1895
NAMPA 2 NW, ID US,-116.58333,43.61667,11.16,1958,9.17,1955
NAMPA SUGAR FACTORY, ID US,-116.5753,43.6039,12.4,2003,9.08,1979
NEW MEADOWS RANGER STATION, ID US,-116.2933,44.9714,7.72,1934,3.63,1916
NEZPERCE, ID US,-116.23333,46.23333,6.8,1949,6.8,1949
NEZPERCE, ID US,-116.243,46.2324,8.74,1992,5.98,1955
RUNNING CREEK RANCH, ID US,-114.83333,45.91667,8.5,1987,6.77,1975
OAKLEY, ID US,-113.898,42.2341,10.72,2012,7.51,1985
OBSIDIAN 3 SSE, ID US,-114.83333,44.03333,4.31,1934,0.56,1951
OLA, ID US,-116.2827,44.1758,10.36,1900,6.96,1993
OLA 4 S, ID US,-116.28333,44.13333,9.89,1961,6.52,1985
OROFINO, ID US,-116.26667,46.48333,12.39,1958,8.25,1916
OXFORD RANGER STATION, ID US,-115.633333,46.616667,3.98,1917,3.98,1917
PALISADES, ID US,-111.21667,43.35,7.21,1986,5.17,1955
PARIS, ID US,-111.4,42.233333,6.44,1900,3.99,1898
PARMA EXPERIMENT STATION, ID US,-116.9442,43.8023,12.66,1934,7.21,1985
PAUL 1 ENE, ID US,-113.7628,42.6118,10.02,1998,6.99,1975
PAYETTE, ID US,-116.9312,44.0763,13.87,2015,8.65,1929
PEBBLE, ID US,-112.033333,42.75,6.26,1910,4.36,1911
PELTON S RANCH, ID US,-114.016667,43.916667,2.15,1936,1.1,1937
PETE KING RANGER STATION, ID US,-115.6,46.15,9.53,1930,9.4,1932
PICABO, ID US,-114.0668,43.3086,7.85,1992,3.2,1985
PIERCE, ID US,-115.8006,46.4922,7.25,2003,4.23,1985
PIERCE RANGER STATION, ID US,-115.8,46.5,7.9,1940,5.05,1962
PLUMMER 3 WSW, ID US,-116.9545,47.3111,10.0,2015,7.98,2017
POCATELLO 2 NE, ID US,-112.4086,42.8916,10.84,2003,7.03,1993
POCATELLO CITY, ID US,-112.44686,42.87496,9.64,2010,9.53,2008
POPLAR, ID US,-111.616667,43.566667,5.12,1913,4.97,1912
PORTHILL, ID US,-116.4991,48.9994,8.82,1934,5.02,1916
POTLATCH 3 NNE, ID US,-116.855,46.9603,9.92,1940,5.28,1985
POWELL, ID US,-114.7111,46.51,6.95,1988,4.84,1975
PRAIRIE, ID US,-115.5716,43.5063,8.68,1926,4.36,1932
PRESTON, ID US,-111.8826,42.0933,9.86,2015,6.14,1993
PRESTON SUGAR FACTOR, ID US,-111.85,42.06667,10.04,1934,5.55,1975
PRICHARD 3 ESE, ID US,-115.9173,47.6428,7.53,2015,5.73,2019
PRIEST RIVER EXPERIMENTAL STATION, ID US,-116.8354,48.3512,8.94,2015,4.55,1916
REACTOR TESTING STATION, ID US,-112.95,43.55,6.56,1953,4.39,1952
RED RIVER RANGER STATION, ID US,-115.3444,45.7075,6.49,1998,4.0,2008
REXBURG BYU IDAHO, ID US,-111.7892,43.8083,8.03,2012,5.27,1982
REYNOLDS, ID US,-116.7495,43.2064,10.13,1992,6.95,1984
RICE, ID US,-111.633333,44.216667,4.69,1922,2.54,1917
RICHFIELD, ID US,-114.155,43.0517,10.3,1934,5.27,1985
RIGBY, ID US,-111.91241,43.67603,9.08,2012,6.71,2011
RIGGINS, ID US,-116.39489,45.35419,13.54,1961,9.93,1899
RIRIE, ID US,-111.78333,43.63333,7.33,1949,6.1,1948
ROLAND WEST PORTAL, ID US,-115.66667,47.35,8.06,1934,4.86,1932
ROOSEVELT, ID US,-115.0,44.95,2.92,1905,2.92,1905
ROSEBERRY, ID US,-116.083333,44.733333,2.55,1912,2.55,1912
RUNNING CREEK RANCH, ID US,-114.83028,45.91833,8.07,1992,6.59,1993
RUPERT 3 WSW, ID US,-113.7575,42.60417,9.83,1953,5.85,1985
SAINT ANTHONY, ID US,-111.6789,43.9518,7.02,1953,3.29,1993
SAINT MARIES, ID US,-116.5789,47.3165,10.59,1934,6.91,1985
SALMON MUNICIPAL AIRPORT, ID US,-113.86667,45.2,8.12,1953,5.05,1942
SALMON KSRA, ID US,-113.88542,45.17319,8.75,1981,5.88,1985
SALMON RIVER DAM, ID US,-114.833333,42.483333,10.03,1910,8.12,1911
SANDPOINT EXPERIMENTAL STATION, ID US,-116.5627,48.2943,9.07,1998,5.44,1916
SHOSHONE 1 WNW, ID US,-114.4169,42.9383,11.8,2018,7.04,1911
SHOUP, ID US,-114.2774,45.3768,9.82,1998,6.36,1985
SILVER CITY, ID US,-116.733333,43.016667,3.99,1942,3.99,1942
SILVER CITY 5 W, ID US,-116.8316,43.0022,8.82,1992,6.29,1993
SLATE CREEK RANGER S, ID US,-116.28333,45.63333,13.09,1966,12.11,1962
SMALL 6 N, ID US,-112.4095,44.2965,6.82,2015,4.01,2011
SODA SPRINGS AIRPORT, ID US,-111.5833,42.6513,5.63,1994,3.09,1993
SOLDIER CREEK ADM SITE, ID US,-114.81667,43.48333,7.66,1939,3.08,1903
SPENCER, ID US,-112.1864,44.3605,4.9,1958,2.87,1944
SPRINGFIELD 1 SE, ID US,-112.68333,43.06667,8.93,1940,5.93,1922
SPRING HILL, ID US,-116.283333,43.816667,9.77,1913,9.77,1913
STANLEY, ID US,-114.93459,44.22089,2.96,2015,-0.4,1920
STIBNITE, ID US,-115.33333,44.9,3.61,1953,1.81,1955
SUGAR CITY, ID US,-111.7367,43.8868,7.37,2015,4.31,1911
SUNNYSIDE, ID US,-115.833333,43.316667,10.34,1918,8.76,1917
KETCHUM RANGER STATION, ID US,-114.35,43.7,4.26,1939,1.69,1942
SWAN FALLS PH, ID US,-116.3784,43.2436,14.13,1958,11.39,1993
SWAN VALLEY, ID US,-111.2791,43.4372,7.18,2007,3.85,1985
TAYLOR RANCH, ID US,-114.8508,45.1017,9.01,2003,5.3,1985
